Size (360, 360, 360); Boundaries 20; Domains (5, 13, 1); Time 45.14 s; Iterations 333; Residual norm 9.810e-07 
Size (360, 360, 360); Boundaries 20; Domains (5, 14, 1); Time 47.56 s; Iterations 333; Residual norm 9.799e-07 
Size (360, 360, 360); Boundaries 20; Domains (5, 15, 1); Time 49.14 s; Iterations 333; Residual norm 9.798e-07 
Size (360, 360, 360); Boundaries 20; Domains (5, 16, 1); Time 50.97 s; Iterations 332; Residual norm 9.717e-07 
Size (360, 360, 360); Boundaries 20; Domains (5, 17, 1); Time 52.99 s; Iterations 333; Residual norm 9.806e-07 
Size (360, 360, 360); Boundaries 20; Domains (5, 18, 1); Time 55.89 s; Iterations 333; Residual norm 9.781e-07 
Size (360, 360, 360); Boundaries 20; Domains (5, 19, 1); Time 59.27 s; Iterations 333; Residual norm 9.853e-07 
Size (360, 360, 360); Boundaries 20; Domains (5, 20, 1); Time 61.45 s; Iterations 332; Residual norm 9.743e-07 
Size (360, 360, 360); Boundaries 20; Domains (6, 1, 1); Time 9.00 s; Iterations 220; Residual norm 9.700e-07 
Size (360, 360, 360); Boundaries 20; Domains (6, 2, 1); Time 17.89 s; Iterations 330; Residual norm 9.966e-07 
Size (360, 360, 360); Boundaries 20; Domains (6, 3, 1); Time 22.23 s; Iterations 332; Residual norm 9.711e-07 
Size (360, 360, 360); Boundaries 20; Domains (6, 4, 1); Time 24.45 s; Iterations 331; Residual norm 9.655e-07 
Size (360, 360, 360); Boundaries 20; Domains (6, 5, 1); Time 27.25 s; Iterations 332; Residual norm 9.713e-07 
Size (360, 360, 360); Boundaries 20; Domains (6, 6, 1); Time 30.54 s; Iterations 331; Residual norm 9.658e-07 
Size (360, 360, 360); Boundaries 20; Domains (6, 7, 1); Time 35.27 s; Iterations 332; Residual norm 9.713e-07 
Size (360, 360, 360); Boundaries 20; Domains (6, 8, 1); Time 37.19 s; Iterations 331; Residual norm 9.664e-07 
